"","before","after"
"14728","PROJECT RENEWAL","PROJECT RENEWAL"
"14729","PROJECT RENEWAL INC SCM","PROJECT RENEWAL INC SCM"
"14730","PROJECT SAMARITAN AIDS SERVICES","PROJECT SAMARITAN AIDS SERVICES"
"14731","PROJECT SOCIAL CARE/MB INC.","PROJECT SOCIAL CARE/MB INC."
"14732","PROJECT TEAL","PROJECT TEAL"
"14733","PROKINETICS PHYSICAL THERAPY P.C.","PROKINETICS PHYSICAL THERAPY P.C."
"14734","PROLIFIC CARE HEALTH ENTERPRISES LLC","PROLIFIC CARE HEALTH ENTERPRISES LLC"
"14735","PROMED","PROMED"
"14736","PROMED MEDICAL SUPPLY INC.","PROMED MEDICAL SUPPLY INC."
"14737","PROMEDA MEDICAL AND DIAGNOSTICS, P.C.","PROMEDA MEDICAL AND DIAGNOSTICS, P.C."
"14738","PROMESA ADULT DAY HEALTH CARE","PROMESA ADULT DAY HEALTH CARE"
"14739","PROMESA RESIDENTIAL HEALTH CARE FACILITY, INC.","PROMESA RESIDENTIAL HEALTH CARE FACILITY, INC."
"14740","PROMETHEUS IMAGING LLC","PROMETHEUS IMAGING LLC"
"14741","PROMINENCE MEDICAL SUPPLIES LLC","PROMINENCE MEDICAL SUPPLIES LLC"
"14742","PROMINIS MEDICAL SERVICES PC","PROMINIS MEDICAL SERVICES PC"
"14743","PROMISA PHARMACY INC.","PROMISA PHARMACY INC."
"14744","PROMISE CARE NJ LLC","PROMISE CARE NJ LLC"
"14745","PROMISE HOME CARE AGENCY INC.","PROMISE HOME CARE AGENCY INC."
"14746","PROMISE HOME CARE AGENCY, INC","PROMISE HOME CARE AGENCY, INC"
"14747","PROMOBILITY PHYSICAL THERAPY, P.C.","PROMOBILITY PHYSICAL THERAPY, P.C."
"14748","PROMPT CARE INC","PROMPT CARE INC"
"14749","PROMPT MEDICAL CARE OF NY PC","PROMPT MEDICAL CARE OF NY PC"
"14750","PROMPT URGENT CARE,PLLC","PROMPT URGENT CARE,PLLC"
"14751","PROMPTA CARE CORPS","PROMPTA CARE CORPS"
"14752","PRONET PHYSICAL THERAPY PC","PRONET PHYSICAL THERAPY PC"
"14753","PROS903","PROS903"
"14754","PROSCRIPT PHARMACY LLC.","PROSCRIPT PHARMACY LLC."
"14755","PROSPECT AVE. PHARMACY INC.","PROSPECT AVE. PHARMACY INC."
"14756","PROSPECT GARDENS PHARMACY INC.","PROSPECT GARDENS PHARMACY INC."
"14757","PROSPECT HEALTH PHARMACY","PROSPECT HEALTH PHARMACY"
"14758","PROSPECT LEFFERTS GARDENS MEDICAL PC","PROSPECT LEFFERTS GARDENS MEDICAL PC"
"14759","PROSPECT MEDICAL CARE OF NEW YORK, P.C.","PROSPECT MEDICAL CARE OF NEW YORK, P.C."
"14760","PROSPECT MEDICAL CARE PC","PROSPECT MEDICAL CARE PC"
"14761","PROSPECT MEDICAL IMAGING P.C.","PROSPECT MEDICAL IMAGING P.C."
"14762","PROSPECT PARK MEDICAL PLAZA PC","PROSPECT PARK MEDICAL PLAZA PC"
"14763","PROSPECT PARK NURSING HOME","PROSPECT PARK NURSING HOME"
"14764","PROSPECT PARK OPERATING, LLC","PROSPECT PARK OPERATING, LLC"
"14765","PROSPER PEDIATRICS","PROSPER PEDIATRICS"
"14766","PROSTHETIC PROFESSIONALS, INC.","PROSTHETIC PROFESSIONALS, INC."
"14767","PROSTHETICS IN MOTION, INC","PROSTHETICS IN MOTION, INC"
"14768","PROTECH DME INC","PROTECH DME INC"
"14769","PROTECTION PHYSICAL THERAPY PC","PROTECTION PHYSICAL THERAPY PC"
"14770","PROTESTANT BOARD OF GUARDIANS INC","PROTESTANT BOARD OF GUARDIANS INC"
"14771","PROTHERAPY REHABILITATION OT, PT, SLP, PLLC","PROTHERAPY REHABILITATION OT, PT, SLP, PLLC"
"14772","PROUD MOMENTS OT THERAPY PLLC","PROUD MOMENTS OT THERAPY PLLC"
"14773","PROUD MOMENTS THERAPY PLLC","PROUD MOMENTS THERAPY PLLC"
"14774","PROVEN CARE LLC","PROVEN CARE LLC"
"14775","PROVIDENCE CARE INC","PROVIDENCE CARE INC"
"14776","PROVIDENCE HOUSE","PROVIDENCE HOUSE"
"14777","PROVIDENT PHARMA LLC","PROVIDENT PHARMA LLC"
"14778","PROVIDER MEDICAL CARE PC","PROVIDER MEDICAL CARE PC"
"14779","PROVIDER REHAB, OT. P.C.","PROVIDER REHAB, OT. P.C."
"14780","PROXI MEDICAL PC","PROXI MEDICAL PC"
"14781","PRR DIAGNOSTIC MEDICINE PC","PRR DIAGNOSTIC MEDICINE PC"
"14782","PRS ENDOSCOPY ASSOCIATES LLC","PRS ENDOSCOPY ASSOCIATES LLC"
"14783","PRUDENT HOME HEALTH CARE SERVICES INC.","PRUDENT HOME HEALTH CARE SERVICES INC."
"14784","PRUDENT PT PC","PRUDENT PT PC"
"14785","PRXP OF NEW YORK LLC","PRXP OF NEW YORK LLC"
"14786","PS OCCUPATIONAL THERAPY PC","PS OCCUPATIONAL THERAPY PC"
"14787","PS PLASTIC SURGERY, PC","PS PLASTIC SURGERY, PC"
"14788","PSCH","PSCH"
"14789","PSK RX INC","PSK RX INC"
"14790","PSO NY INC","PSO NY INC"
"14791","PSOAS MASSAGE THERAPY OFFICES, P.C.","PSOAS MASSAGE THERAPY OFFICES, P.C."
"14792","PSYCHIATRIC NURSE PRACTITIONER THERAPEUTIC PRACTICE OF NEW YORK, PLLC","PSYCHIATRIC NURSE PRACTITIONER THERAPEUTIC PRACTICE OF NEW YORK, PLLC"
"14793","PSYCHIATRIC UNIT","PSYCHIATRIC UNIT"
"14794","PSYCHIATRY AND PSYCHOTHERAPY PRACTICE P.C.","PSYCHIATRY AND PSYCHOTHERAPY PRACTICE P.C."
"14795","PSYCHOANALYTIC TRAINING INSTITUTE OF THE CONTEMPORARY FREUDIAN SOCIETY","PSYCHOANALYTIC TRAINING INSTITUTE OF THE CONTEMPORARY FREUDIAN SOCIETY"
"14796","PSYCHOLOGICAL ASSESSMENTS & SOLUTIONS, PC","PSYCHOLOGICAL ASSESSMENTS & SOLUTIONS, PC"
"14797","PSYCHOLOGICAL HEALTH CARE OF NY","PSYCHOLOGICAL HEALTH CARE OF NY"
"14798","PSYCHOLOGICAL HEALTH SERVICES P.C.","PSYCHOLOGICAL HEALTH SERVICES P.C."
"14799","PSYCHOLOGICAL MOTIVATION AND CHANGE GROUP","PSYCHOLOGICAL MOTIVATION AND CHANGE GROUP"
"14800","PSYCHOLOGICAL SERVICES FOR MULTICULTURAL THERAPY, P.C.","PSYCHOLOGICAL SERVICES FOR MULTICULTURAL THERAPY, P.C."
"14801","PSYCHOLOGICAL STRESS MANAGEMENT SERVICES PC","PSYCHOLOGICAL STRESS MANAGEMENT SERVICES PC"
"14802","PSYCHOLOGY YME PC","PSYCHOLOGY YME PC"
"14803","PSYCHOTHERAPY & SPIRITUALITY INSTITUTE","PSYCHOTHERAPY & SPIRITUALITY INSTITUTE"
"14804","PSYCHOTHERAPY AND QUALITY ASSURANCE SERVICES","PSYCHOTHERAPY AND QUALITY ASSURANCE SERVICES"
"14805","PSYCHOTHERAPY COUNSELING AND HOME CARE OF GREATER NEW YORK INC.","PSYCHOTHERAPY COUNSELING AND HOME CARE OF GREATER NEW YORK INC."
"14806","PSYCHOTHERAPY PRACTICE","PSYCHOTHERAPY PRACTICE"
"14807","PSYCHOTHERAPY PRIVATE PRACTICE","PSYCHOTHERAPY PRIVATE PRACTICE"
"14808","PT HEALTH FIRST P.T PC","PT HEALTH FIRST P.T PC"
"14809","PT ON PARK PLLC","PT ON PARK PLLC"
"14810","PT PLUS, PC","PT PLUS, PC"
"14811","PT SKILLED CARE","PT SKILLED CARE"
"14812","PUERO RICAN FAMILY ICF # 3","PUERO RICAN FAMILY ICF # 3"
"14813","PUERTO RICAN FAMILY ICF #2","PUERTO RICAN FAMILY ICF #2"
"14814","PUERTO RICAN FAMILY INSTITUTE, INC","PUERTO RICAN FAMILY INSTITUTE, INC"
"14815","PUERTO RICAN FAMILY LACONIA","PUERTO RICAN FAMILY LACONIA"
"14816","PUERTO RICAN HOME ATTENDANTS SERVICES, INC","PUERTO RICAN HOME ATTENDANTS SERVICES, INC"
"14817","PUERTO RICAN ORGANIZATION TO MOTIVATE ENLIGHTEN AND SERVE ADDICTS","PUERTO RICAN ORGANIZATION TO MOTIVATE ENLIGHTEN AND SERVE ADDICTS"
"14818","PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN AND SERVE ADDICTS, IN","PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN AND SERVE ADDICTS, IN"
"14819","PUGSLEY DENTAL P.C.","PUGSLEY DENTAL P.C."
"14820","PUI-CHING MAK, NURSE PRACTITIONER IN GERONTOLOGY, PLLC","PUI-CHING MAK, NURSE PRACTITIONER IN GERONTOLOGY, PLLC"
"14821","PULMONARY AND SLEEP DISORDERS OF NEW YORK, P.C.","PULMONARY AND SLEEP DISORDERS OF NEW YORK, P.C."
"14822","PULMONARY AND SLEEP MEDICAL PC","PULMONARY AND SLEEP MEDICAL PC"
"14823","PULMONARY CRITICAL CARE GROUP, LLP","PULMONARY CRITICAL CARE GROUP, LLP"
"14824","PULMONARY MEDICINE, PC","PULMONARY MEDICINE, PC"
"14825","PULMONARY SOLUTIONS PC","PULMONARY SOLUTIONS PC"
"14826","PULMONARY WELLNESS REHABILITATION PTPC","PULMONARY WELLNESS REHABILITATION PTPC"
"14827","PULSE NYC PHYSICAL THERAPY, P.C.","PULSE NYC PHYSICAL THERAPY, P.C."
"14828","PULSE PHARMACY INC","PULSE PHARMACY INC"
"14829","PUMPRO MEDICAL SUPPLIES LLC","PUMPRO MEDICAL SUPPLIES LLC"
"14830","PURE DENTAL CARE, P. C.","PURE DENTAL CARE, P. C."
"14831","PURE LANGUAGE LLC","PURE LANGUAGE LLC"
"14832","PURE OBGYN SURGERY PC","PURE OBGYN SURGERY PC"
"14833","PURE SPEECH INC","PURE SPEECH INC"
"14834","PURE VISION OPTIX LLC","PURE VISION OPTIX LLC"
"14835","PURNA ATLURI, M.D., PLLC","PURNA ATLURI, M.D., PLLC"
"14836","PUROW MD SHAPS MD PC","PUROW MD SHAPS MD PC"
"14837","PURPOSE DRIVEN PHYSICAL THERAPY LLC","PURPOSE DRIVEN PHYSICAL THERAPY LLC"
"14838","PURPOSE DRIVEN THERAPEUTIC SERVICES LCSW, PLLC","PURPOSE DRIVEN THERAPEUTIC SERVICES LCSW, PLLC"
"14839","PURPOSEFUL LIVING MENTAL HEALTH COUNSELING, PLLC","PURPOSEFUL LIVING MENTAL HEALTH COUNSELING, PLLC"
"14840","PURPURA MD LAZZARA DO & SGARLATO MD PC","PURPURA MD LAZZARA DO & SGARLATO MD PC"
"14841","PUSHPA CHAUHAN D.P.M.","PUSHPA CHAUHAN D.P.M."
"14842","PUTNAM CHIROPRACTIC, P.C.","PUTNAM CHIROPRACTIC, P.C."
"14843","PVN MEDICAL DIAGNOSTIC PC","PVN MEDICAL DIAGNOSTIC PC"
"14844","PVR DRUGS INC","PVR DRUGS INC"
"14845","PWN","PWN"
"14846","PWN HEALTH, LLC","PWN HEALTH, LLC"
"14847","PYRAMID DEVELOPMENT GROUP INC","PYRAMID DEVELOPMENT GROUP INC"
"14848","PYRAMID MEDICAL ASSOCIATES, P.C.","PYRAMID MEDICAL ASSOCIATES, P.C."
"14849","PYRAMIDS HEALTH LLC","PYRAMIDS HEALTH LLC"
"14850","PYRAMIDS PHARMACY INC","PYRAMIDS PHARMACY INC"
"14851","PYRAMIDS PT PLLC","PYRAMIDS PT PLLC"
"14852","PYRAMIDS RX INC","PYRAMIDS RX INC"
"14853","Q A MEDICAL PC","Q A MEDICAL PC"
"14854","Q DENTAL PC","Q DENTAL PC"
"14855","QASIM PHARMACY INC","QASIM PHARMACY INC"
"14856","QC ACUPUNCTURE PC","QC ACUPUNCTURE PC"
"14857","QEF'S MAGIC LLC","QEF'S MAGIC LLC"
"14858","QIN MEDICAL PC","QIN MEDICAL PC"
"14859","QNS CORP","QNS CORP"
"14860","QSAC","QSAC"
"14861","QSAC, INC.","QSAC, INC."
"14862","QUALIA MADISON CHIROPRACTIC PC","QUALIA MADISON CHIROPRACTIC PC"
"14863","QUALITY CARE PHYSICAL THERAPY AND ACUPUNCTURE PLLC","QUALITY CARE PHYSICAL THERAPY AND ACUPUNCTURE PLLC"
"14864","QUALITY CARE PHYSICAL THERAPY REHAB PC","QUALITY CARE PHYSICAL THERAPY REHAB PC"
"14865","QUALITY CARE PODIATRY","QUALITY CARE PODIATRY"
"14866","QUALITY CARE SPEECH CENTER","QUALITY CARE SPEECH CENTER"
"14867","QUALITY DIAGNOSTIC IMAGING PC","QUALITY DIAGNOSTIC IMAGING PC"
"14868","QUALITY DIAGNOSTIC, INC","QUALITY DIAGNOSTIC, INC"
"14869","QUALITY DRUGS INC","QUALITY DRUGS INC"
"14870","QUALITY FAMILY CARE, LLC","QUALITY FAMILY CARE, LLC"
"14871","QUALITY FIRST MEDICAL CARE PLLC","QUALITY FIRST MEDICAL CARE PLLC"
"14872","QUALITY HEALTH CENTER","QUALITY HEALTH CENTER"
"14873","QUALITY HEALTHCARE MANAGEMENT,INC.","QUALITY HEALTHCARE MANAGEMENT,INC."
"14874","QUALITY I REHAB PT PC","QUALITY I REHAB PT PC"
"14875","QUALITY OF LIFE MEDICAL MANANGEMENT INC","QUALITY OF LIFE MEDICAL MANANGEMENT INC"
"14876","QUALITY OF LIFE MEDICAL PC","QUALITY OF LIFE MEDICAL PC"
"14877","QUALITY PEDIATRICS PC","QUALITY PEDIATRICS PC"
"14878","QUALITY PHYSICAL THERAPY PC","QUALITY PHYSICAL THERAPY PC"
"14879","QUALITY REHAB AND PT PC","QUALITY REHAB AND PT PC"
"14880","QUALITY REHAB MEDICAL PLLC","QUALITY REHAB MEDICAL PLLC"
"14881","QUALITY REHAB P.T.NY P.C","QUALITY REHAB P.T.NY P.C"
"14882","QUALITY SERVICE MEDICAL TRANSPORTATION LLC","QUALITY SERVICE MEDICAL TRANSPORTATION LLC"
"14883","QUALITY TIME PARENT CARE INC.","QUALITY TIME PARENT CARE INC."
"14884","QUALITY TOUCH, INC.","QUALITY TOUCH, INC."
"14885","QUALITYHEALTHCARE, INC.","QUALITYHEALTHCARE, INC."
"14886","QUALMED SLEEP DIAGNOSTICS LLC","QUALMED SLEEP DIAGNOSTICS LLC"
"14887","QUANTIPATH, INC","QUANTIPATH, INC"
"14888","QUARRY ROAD EMERGENCY SERVICES P.C.","QUARRY ROAD EMERGENCY SERVICES P.C."
"14889","QUARRY ROAD PATHOLOGY SERVICES PC","QUARRY ROAD PATHOLOGY SERVICES PC"
"14890","QUARTET HEALTH, INC","QUARTET HEALTH, INC"
"14891","QUAUTUM LLC","QUAUTUM LLC"
"14892","QUEENED DRUGS INC","QUEENED DRUGS INC"
"14893","QUEENS CORPORATE FOOT CARE, P.C.","QUEENS CORPORATE FOOT CARE, P.C."
"14894","QUEENS HEALTH CENTER","QUEENS HEALTH CENTER"
"14895","QUEENS HOMECARE AGENCY","QUEENS HOMECARE AGENCY"
"14896","QUEENS LONG ISLAND MEDICAL GROUP, P.C.","QUEENS LONG ISLAND MEDICAL GROUP, P.C."
"14897","QUEENS OPTOMETRIC CARE PLLC","QUEENS OPTOMETRIC CARE PLLC"
"14898","QUEENS PHARMACY CORP","QUEENS PHARMACY CORP"
"14899","QUEENS REPLACEMENT LLC","QUEENS REPLACEMENT LLC"
"14900","QUEENS VILLAGE DENTAL ASSOCIATES PC","QUEENS VILLAGE DENTAL ASSOCIATES PC"
"14901","QUENTIN MEDICAL LAB","QUENTIN MEDICAL LAB"
"14902","QUENTIN MEDICAL PC","QUENTIN MEDICAL PC"
"14903","QUENTIN MEDICAL, P.C","QUENTIN MEDICAL, P.C"
"14904","QUENTIN ROAD PHARMACY INC","QUENTIN ROAD PHARMACY INC"
"14905","QUENTIN SMILE DENTAL SERVICES P.C.","QUENTIN SMILE DENTAL SERVICES P.C."
"14906","QUEST DIAGNOSTICS","QUEST DIAGNOSTICS"
"14907","QUEST PHARMACY CORP.","QUEST PHARMACY CORP."
"14908","QUICK CARE MEDICAL 860 PLLC","QUICK CARE MEDICAL 860 PLLC"
"14909","QUICK DRUGS INC","QUICK DRUGS INC"
"14910","QUICK STOP PHARMACY, INC","QUICK STOP PHARMACY, INC"
"14911","QUICK STRIDES CORP","QUICK STRIDES CORP"
"14912","QUICK SUCCESS PHARMACY INC","QUICK SUCCESS PHARMACY INC"
"14913","QUICKAID PHARMACY, INC.","QUICKAID PHARMACY, INC."
"14914","QUICKMED MEDICAL P.C","QUICKMED MEDICAL P.C"
"14915","QUICKMED MEDICAL P.C.","QUICKMED MEDICAL P.C."
"14916","QUICKRX LTC PHARMA INC","QUICKRX LTC PHARMA INC"
"14917","QUIPP, P.C.","QUIPP, P.C."
"14918","QURBAN DIAGNOSTIC LAB","QURBAN DIAGNOSTIC LAB"
"14919","R & A PHARMACY INC.","R & A PHARMACY INC."
"14920","R & B CAR AND LIMO CORP","R & B CAR AND LIMO CORP"
"14921","R & D OPTICAL INC.","R & D OPTICAL INC."
"14922","R & S PIONEER PHARMACY INC.","R & S PIONEER PHARMACY INC."
"14923","R & T PHARMACY CORP","R & T PHARMACY CORP"
"14924","R AND M TRANSCARE INC.","R AND M TRANSCARE INC."
"14925","R B JETTER ,MD, PC","R B JETTER ,MD, PC"
"14926","R CHRISTINE MELTON MD PC","R CHRISTINE MELTON MD PC"
"14927","R G DENTAL OFFICE P.C.","R G DENTAL OFFICE P.C."
"14928","R G DRUG CORP","R G DRUG CORP"
"14929","R GUILLEN MD PC","R GUILLEN MD PC"
"14930","R J MASCITELLI MD PC","R J MASCITELLI MD PC"
"14931","R JOUDEH MEDICAL PAVILION, PLLC","R JOUDEH MEDICAL PAVILION, PLLC"
"14932","R K MEDICAL CARE P C","R K MEDICAL CARE P C"
"14933","R MOSTAFAVI MD OPHTHAMOLOGIST PC","R MOSTAFAVI MD OPHTHAMOLOGIST PC"
"14934","R REDDI MUTTANA MD PC","R REDDI MUTTANA MD PC"
"14935","R RUBIN A LAZAR MD PC","R RUBIN A LAZAR MD PC"
"14936","R ZAKARIA PHYSICIAN PLLC","R ZAKARIA PHYSICIAN PLLC"
"14937","R. LONG COUNSELING & CONSULTING","R. LONG COUNSELING & CONSULTING"
"14938","R. VINELLE PODIATRY PLLC","R. VINELLE PODIATRY PLLC"
"14939","R.A.F. MEDICAL PC","R.A.F. MEDICAL PC"
"14940","R.A.I.N. HOME ATTENDANT SERVICES, INC.","R.A.I.N. HOME ATTENDANT SERVICES, INC."
"14941","R.A.S COUNSELING SERVICES,CORP.","R.A.S COUNSELING SERVICES,CORP."
"14942","R.L. DENTAL SERVICES, P.C.","R.L. DENTAL SERVICES, P.C."
"14943","R.W. URBANEK, M.D.,P.C.","R.W. URBANEK, M.D.,P.C."
"14944","R&G DAY CARE LLC","R&G DAY CARE LLC"
"14945","R&G PHARMACY INC.","R&G PHARMACY INC."
"14946","R&J DENTAL P.C.","R&J DENTAL P.C."
"14947","R&L SURGICAL TECHNICIAN SERVICES","R&L SURGICAL TECHNICIAN SERVICES"
"14948","R&M GLOBAL MEDICAL SUPPLIES, LLC","R&M GLOBAL MEDICAL SUPPLIES, LLC"
"14949","R&N ANESTHESIA PLLC","R&N ANESTHESIA PLLC"
"14950","R&R CARING FOR EARLY LEARNERS LLC","R&R CARING FOR EARLY LEARNERS LLC"
"14951","R&R DRUGS INC.","R&R DRUGS INC."
"14952","R&R MENTAL HEALTH COUNSELING","R&R MENTAL HEALTH COUNSELING"
"14953","R&R SAKS PHARMACY CORP","R&R SAKS PHARMACY CORP"
"14954","R&R SPEECH AND LANGUAGE SERVICES, PC","R&R SPEECH AND LANGUAGE SERVICES, PC"
"14955","R&T PHARMACY CORP.","R&T PHARMACY CORP."
"14956","RABINOWITZ PHARMACY INC","RABINOWITZ PHARMACY INC"
"14957","RABINOWITZ PHARMACY INC.","RABINOWITZ PHARMACY INC."
"14958","RACHAEL TIMBERLAKE","RACHAEL TIMBERLAKE"
"14959","RACHEL AKIN","RACHEL AKIN"
"14960","RACHEL FELDMAN PHD PSYCHOLOGIST PLLC","RACHEL FELDMAN PHD PSYCHOLOGIST PLLC"
"14961","RACHEL FISCH-KAPLAN, MS CCC-SLP, PC","RACHEL FISCH-KAPLAN, MS CCC-SLP, PC"
"14962","RACHEL MCDAVID & ASSOCIATES, MARRIAGE AND FAMILY THERAPY, PC","RACHEL MCDAVID & ASSOCIATES, MARRIAGE AND FAMILY THERAPY, PC"
"14963","RACHEL OT PC","RACHEL OT PC"
"14964","RADIANT SKIN DERMATOLOGY AND LASER,PLLC","RADIANT SKIN DERMATOLOGY AND LASER,PLLC"
"14965","RADIATION ONCOLOGY MEDICAL PRACTICE OF ST. VINCENTS, PC","RADIATION ONCOLOGY MEDICAL PRACTICE OF ST. VINCENTS, PC"
"14966","RADIATION THERAPISTS ASSOCIATES, P.C.","RADIATION THERAPISTS ASSOCIATES, P.C."
"14967","RADIN DRUGS INC","RADIN DRUGS INC"
"14968","RADIOLOGY ASSOCIATES OF BROOKLYN, LLP","RADIOLOGY ASSOCIATES OF BROOKLYN, LLP"
"14969","RADIOLOGY IMAGING CONSULTANTS PC","RADIOLOGY IMAGING CONSULTANTS PC"
"14970","RADIOLOGY MEDICAL ASSOCIATES PC","RADIOLOGY MEDICAL ASSOCIATES PC"
"14971","RADIOLOGY SERVICES OF NEW YORK PC","RADIOLOGY SERVICES OF NEW YORK PC"
"14972","RADJABI MEDICAL PC","RADJABI MEDICAL PC"
"14973","RADOSLAV JOVANOVIC, MD LLC","RADOSLAV JOVANOVIC, MD LLC"
"14974","RADUGA, INC.","RADUGA, INC."
"14975","RADWA PHYSICAL THERAPY PC","RADWA PHYSICAL THERAPY PC"
"14976","RAELEEN CAR CORP","RAELEEN CAR CORP"
"14977","RAFIEH PHARMACY INC","RAFIEH PHARMACY INC"
"14978","RAGAB INC","RAGAB INC"
"14979","RAGHAVA RAO POLAVARAPU,MDPC","RAGHAVA RAO POLAVARAPU,MDPC"
"14980","RAHAV WELLNESS LLC","RAHAV WELLNESS LLC"
"14981","RAHIMU PHARMACY","RAHIMU PHARMACY"
"14982","RAHWAY GERIATRICS CENTER, INC.","RAHWAY GERIATRICS CENTER, INC."
"14983","RAHWAY HEALTHCARE LLC","RAHWAY HEALTHCARE LLC"
"14984","RAICES HOMECARE, INC.","RAICES HOMECARE, INC."
"14985","RAINBOW AMBULETTE SERVICE INC","RAINBOW AMBULETTE SERVICE INC"
"14986","RAINBOW KIDS INC.","RAINBOW KIDS INC."
"14987","RAINBOW MEDICAL PC","RAINBOW MEDICAL PC"
"14988","RAINBOW PHARMACY","RAINBOW PHARMACY"
"14989","RAINBOW RADIO DISPATCH INC.","RAINBOW RADIO DISPATCH INC."
"14990","RAINBOW SUPPLY MEDICAL","RAINBOW SUPPLY MEDICAL"
"14991","RAINBOW SUPPLY, INC.","RAINBOW SUPPLY, INC."
"14992","RAINBOW TOTS LLC","RAINBOW TOTS LLC"
"14993","RAINE PHYSICAL THERAPY, PLLC","RAINE PHYSICAL THERAPY, PLLC"
"14994","RAINER N MITTL OPHTHALMOLOGIST PC","RAINER N MITTL OPHTHALMOLOGIST PC"
"14995","RAJENDRA MARK RAMPERSAUD MD PLLC","RAJENDRA MARK RAMPERSAUD MD PLLC"
"14996","RAJENDRA PRADHAN, M. D. P.C.","RAJENDRA PRADHAN, M. D. P.C."
"14997","RAJESH BHATNAGAR PHYSICIAN PC","RAJESH BHATNAGAR PHYSICIAN PC"
"14998","RAJIV UPPAL MD","RAJIV UPPAL MD"
"14999","RAKOWER JARRETT & SHEINKOPF DDS PC","RAKOWER JARRETT & SHEINKOPF DDS PC"
"15000","RALPH BENZAKEIN DPM PC","RALPH BENZAKEIN DPM PC"
"15001","RALPH DRUGS INC.","RALPH DRUGS INC."
"15002","RALPH H CAPALBO PC","RALPH H CAPALBO PC"
"15003","RALPH K. JACKSON, M.D., P.C.","RALPH K. JACKSON, M.D., P.C."
"15004","RALPH K. MESSO JR., D.O., P.C.","RALPH K. MESSO JR., D.O., P.C."
"15005","RALPH L GENTILE M D PROF CORP","RALPH L GENTILE M D PROF CORP"
"15006","RALPH LAUREN CENTER FOR CANCER CARE & PREVENTION","RALPH LAUREN CENTER FOR CANCER CARE & PREVENTION"
"15007","RALPH PLACE PHARMACY INC","RALPH PLACE PHARMACY INC"
"15008","RALPH S BLUME MD PC","RALPH S BLUME MD PC"
"15009","RAM DRUGS INC","RAM DRUGS INC"
"15010","RAM PHARMACY INC.","RAM PHARMACY INC."
"15011","RAMEZ SULAIMAN MEDICAL PRACTICE PLLC","RAMEZ SULAIMAN MEDICAL PRACTICE PLLC"
"15012","RAMIN AHMADI, MD, PC","RAMIN AHMADI, MD, PC"
"15013","RAMIN ZAGHI","RAMIN ZAGHI"
"15014","RAMINFAR PSYCHOLOGY PLLC","RAMINFAR PSYCHOLOGY PLLC"
"15015","RAMIRO CADAG, M.D., P.C.","RAMIRO CADAG, M.D., P.C."
"15016","RAMON A MOQUETE, MD PC","RAMON A MOQUETE, MD PC"
"15017","RAMON ABREU","RAMON ABREU"
"15018","RAMON DELMONTE, MD, P.C.","RAMON DELMONTE, MD, P.C."
"15019","RAMON M CABANAS MD PC","RAMON M CABANAS MD PC"
"15020","RAMON M. TALLAJ, M.D.","RAMON M. TALLAJ, M.D."
"15021","RAMON MANON-ESPAILLAT MD PC","RAMON MANON-ESPAILLAT MD PC"
"15022","RAMON VALLARINO MD PC","RAMON VALLARINO MD PC"
"15023","RAMON VALLARINO, M.D., P.C.","RAMON VALLARINO, M.D., P.C."
"15024","RAMPIM MEDICAL CARE OF THE BRONX PC","RAMPIM MEDICAL CARE OF THE BRONX PC"
"15025","RAMPS/LIFTS FOR BETTER LIVING INC.","RAMPS/LIFTS FOR BETTER LIVING INC."
"15026","RANAWAT ORTHOPAEDICS PLLC","RANAWAT ORTHOPAEDICS PLLC"
"15027","RANDALL PHARMACY INC","RANDALL PHARMACY INC"
"15028","RANDY L. LEVINE, M.D., P.C.","RANDY L. LEVINE, M.D., P.C."
"15029","RANDY ZULTOWSKY DDS, P.C.","RANDY ZULTOWSKY DDS, P.C."
"15030","RANI MEDICAL, PC","RANI MEDICAL, PC"
"15031","RAPHAEL DRUG & HEALTH LTD","RAPHAEL DRUG & HEALTH LTD"
"15032","RAPHAEL J. OSHEROFF, M.D.' F.A.C.P., P.C.","RAPHAEL J. OSHEROFF, M.D.' F.A.C.P., P.C."
"15033","RAPHAEL M KLAPPER, MD, PC","RAPHAEL M KLAPPER, MD, PC"
"15034","RAPID EMS LLC","RAPID EMS LLC"
"15035","RAPID MEDICAL CARE","RAPID MEDICAL CARE"
"15036","RAPID MEDICINE, PLLC","RAPID MEDICINE, PLLC"
"15037","RAPPAPORT SPEECH & LANGUAGE SERVICES, P.C.","RAPPAPORT SPEECH & LANGUAGE SERVICES, P.C."
"15038","RASIK L PATEL MDPC","RASIK L PATEL MDPC"
"15039","RAUFA G FAROQUI MD PC","RAUFA G FAROQUI MD PC"
"15040","RAUL P. SALA, MD, PC","RAUL P. SALA, MD, PC"
"15041","RAVI C MADDALI, DDS, PC","RAVI C MADDALI, DDS, PC"
"15042","RAVI PHYSICIAN PC","RAVI PHYSICIAN PC"
"15043","RAVICH MEDICAL SERVICES PC","RAVICH MEDICAL SERVICES PC"
"15044","RAWYA BASKHAROUN","RAWYA BASKHAROUN"
"15045","RAY MERCADO DO PC","RAY MERCADO DO PC"
"15046","RAYMOND A RIZZUTI M.D.P.C.","RAYMOND A RIZZUTI M.D.P.C."
